MONTH,ORIGIN_AIRPORT,AIRLINE,ARRIVAL_DELAY,COUNT
January,CHS,Delta Air Lines Inc.,-3.280851064,237
January,CHS,Atlantic Southeast Airlines,10.03529412,185
January,CHS,American Eagle Airlines Inc.,9.943089431,128
January,CHS,Skywest Airlines Inc.,48,3
January,CHS,US Airways Inc.,-2.173913043,47
January,CHS,Southwest Airlines Co.,-2.284090909,178
January,CID,Atlantic Southeast Airlines,9.427906977,219
January,CID,Frontier Airlines Inc.,92,2
January,CID,American Eagle Airlines Inc.,26.3,283
January,CID,Skywest Airlines Inc.,21.40506329,161
January,CIU,Skywest Airlines Inc.,9.543859649,57
January,CLD,Skywest Airlines Inc.,0.13,204
January,CLE,American Airlines Inc.,16.52688172,94
January,CLE,Delta Air Lines Inc.,-10.13888889,182
January,CLE,Atlantic Southeast Airlines,1.589451913,1021
January,CLE,Frontier Airlines Inc.,19.32042254,284
January,CLE,American Eagle Airlines Inc.,34.53125,176
January,CLE,Spirit Air Lines,4.235294118,17
January,CLE,Skywest Airlines Inc.,10.34545455,57
January,CLE,United Air Lines Inc.,-2.942815249,694
January,CLE,US Airways Inc.,-1.475862069,146
January,CLE,Southwest Airlines Co.,-2.934782609,325
January,CLL,Atlantic Southeast Airlines,19.4,57
January,CLL,American Eagle Airlines Inc.,14.82394366,145
January,CLT,American Airlines Inc.,2.349367089,409
January,CLT,JetBlue Airways,7.570093458,115
January,CLT,Delta Air Lines Inc.,-3.92248062,516
January,CLT,Atlantic Southeast Airlines,10.46625767,344
January,CLT,Frontier Airlines Inc.,8.842105263,21
January,CLT,Skywest Airlines Inc.,5.509090909,55
January,CLT,United Air Lines Inc.,26.73913043,23
January,CLT,US Airways Inc.,2.363743765,7719
January,CLT,Southwest Airlines Co.,2.244897959,148
January,CMH,American Airlines Inc.,3.32,128
January,CMH,Delta Air Lines Inc.,-2.875,240
January,CMH,Atlantic Southeast Airlines,10.27040816,219
January,CMH,American Eagle Airlines Inc.,25.12473118,514
January,CMH,Skywest Airlines Inc.,15.24137931,59
January,CMH,United Air Lines Inc.,47.74193548,31
January,CMH,US Airways Inc.,-2.023529412,88
January,CMH,Southwest Airlines Co.,-1.307891332,787
January,CMI,American Eagle Airlines Inc.,21.81283422,208
January,CMX,Skywest Airlines Inc.,13.79591837,60
January,CNY,Skywest Airlines Inc.,-26.09259259,54
January,COD,Skywest Airlines Inc.,4.120689655,62
January,COS,American Airlines Inc.,29.5,59
January,COS,Delta Air Lines Inc.,18,27
January,COS,Atlantic Southeast Airlines,-1.727272727,92
January,COS,Skywest Airlines Inc.,19.9608802,430
January,COU,American Eagle Airlines Inc.,16.3,124
January,CPR,Skywest Airlines Inc.,-0.803680982,166
January,CRP,Atlantic Southeast Airlines,9.186619718,290
January,CRP,American Eagle Airlines Inc.,12.02836879,145
January,CRP,Southwest Airlines Co.,-3.036363636,111
January,CRW,Delta Air Lines Inc.,-10.62962963,27
January,CRW,Atlantic Southeast Airlines,17.69594595,149
January,CSG,Atlantic Southeast Airlines,8.7,80
January,CVG,Delta Air Lines Inc.,-10.84388186,476
January,CVG,Atlantic Southeast Airlines,8.190938511,336
January,CVG,Frontier Airlines Inc.,9.3,121
January,CVG,American Eagle Airlines Inc.,14.77097506,472
January,CVG,Skywest Airlines Inc.,4.326732673,308
January,CWA,Atlantic Southeast Airlines,4.966666667,61
January,CWA,American Eagle Airlines Inc.,31.78,58
January,CWA,Skywest Airlines Inc.,-28,1
January,DAB,Delta Air Lines Inc.,-4.12605042,120
January,DAL,Delta Air Lines Inc.,3.541666667,120
January,DAL,Atlantic Southeast Airlines,3.447761194,202
January,DAL,Skywest Airlines Inc.,27.6,5
January,DAL,Virgin America,6.774285714,360
January,DAL,Southwest Airlines Co.,3.442697653,4465
January,DAY,American Airlines Inc.,-0.172413793,89
January,DAY,Delta Air Lines Inc.,-10.12698413,126
January,DAY,Atlantic Southeast Airlines,2.465909091,186
January,DAY,American Eagle Airlines Inc.,20.66242038,175
January,DAY,Skywest Airlines Inc.,9.721311475,62
January,DAY,Southwest Airlines Co.,-2.105633803,145
January,DBQ,American Eagle Airlines Inc.,14.52112676,86
January,DCA,American Airlines Inc.,4.103410341,930
January,DCA,Alaska Airlines Inc.,-9.175,120
January,DCA,JetBlue Airways,5.078335373,869
January,DCA,Delta Air Lines Inc.,-2.034435262,728
January,DCA,Atlantic Southeast Airlines,4.131274131,281
January,DCA,Frontier Airlines Inc.,15.42857143,91
January,DCA,American Eagle Airlines Inc.,25.56923077,154
January,DCA,Skywest Airlines Inc.,20.20792079,106
January,DCA,United Air Lines Inc.,8.558139535,305
January,DCA,US Airways Inc.,2.696348495,1674
January,DCA,Virgin America,-2.87962963,111
January,DCA,Southwest Airlines Co.,-7.019559902,1314
January,DEN,American Airlines Inc.,16.35010482,480
January,DEN,Alaska Airlines Inc.,-2.467741935,124
January,DEN,JetBlue Airways,17.92,80
January,DEN,Delta Air Lines Inc.,-0.817028986,558
January,DEN,Atlantic Southeast Airlines,15.942226,1215
January,DEN,Frontier Airlines Inc.,11.41429311,1943
January,DEN,Spirit Air Lines,17.15384615,273
January,DEN,Skywest Airlines Inc.,20.21428571,3625
January,DEN,United Air Lines Inc.,11.20200108,3761
January,DEN,US Airways Inc.,2.470108696,378
January,DEN,Southwest Airlines Co.,6.931079324,4653
January,DFW,American Airlines Inc.,7.698201145,12455
January,DFW,Alaska Airlines Inc.,-9.247619048,106
January,DFW,JetBlue Airways,2.933333333,50
January,DFW,Delta Air Lines Inc.,-0.300492611,406
