des,count,arr_delay
RDD,768,7.514322917
RDM,2111,2.538607295
RDU,34182,5.327511556
RHI,938,-1.364605544
RIC,16535,6.556456002
RKS,665,-3.261654135
RNO,14029,4.822795638
ROA,2204,6.720961887
ROC,8007,4.424878232
ROW,1003,4.292123629
RST,2161,2.865802869
RSW,28757,3.15053726
SAF,1535,3.933550489
SAN,69294,3.676826276
SAT,32056,5.444752932
SAV,8041,4.707747793
SBA,5902,3.992036598
SBN,4344,8.658149171
SBP,3065,3.580097879
SCC,832,0.478365385
SCE,943,10.0583245
SDF,9959,5.640927804
SEA,110192,1.969471468
SFO,159492,5.975691571
SGF,6568,7.877588307
SGU,1773,5.227298364
SHV,6479,7.331532644
SIT,1416,2.186440678
SJC,37737,4.206773193
SJT,1553,3.444945267
SJU,24447,6.880312513
SLC,105294,0.041550326
SMF,40462,5.005560773
SMX,652,0.642638037
SNA,36723,1.583666912
SPI,1667,8.165566887
SPS,1170,4.947863248
SRQ,3336,2.506894484
STC,77,23.02597403
STL,46273,4.204417263
STT,4306,5.58685555
STX,1002,6.172654691
SUN,914,2.772428884
SUX,591,4.58714044
SWF,741,7.484480432
SYR,6111,5.350842743
TLH,3427,4.617449664
TOL,989,-1.246713852
TPA,68289,4.307165136
TRI,1912,2.070606695
TTN,3037,16.15442871
TUL,15060,6.099269588
TUS,16259,5.630112553
TVC,2874,2.26861517
TWF,806,3.606699752
TXK,915,4.766120219
TYR,2421,6.712928542
TYS,7384,9.759615385
UST,146,1.931506849
VEL,197,-13.76142132
VLD,1009,6.690782953
VPS,4743,6.35905545
WRG,713,5.50911641
WYS,207,4.193236715
XNA,9918,8.080963904
YAK,713,0.3085554
YUM,1856,3.259159483
